node_a,node_b,tech,start_time,end_time,duration,min_dist_m,max_dist_m,start_lat_a,start_lon_a,start_lat_b,start_lon_b,end_lat_a,end_lon_a,end_lat_b,end_lon_b
V02,V08,bluetooth,367.0,371.0,4.0,9.9,34.1,38.9099012,-77.0578065,38.9099,-77.0582001,38.9099009,-77.0581874,38.9099,-77.0578192
V05,WIS_O,wifi,359.0,371.0,12.0,6.44,61.58,38.9080757,-77.0601086,38.9081,-77.0594,38.9086526,-77.0594318,38.9081,-77.0594
ESC2,V06,bluetooth,373.0,377.0,4.0,10.21,33.29,38.9062328,-77.0630642,38.9059349,-77.0630966,38.9059452,-77.0630691,38.9062313,-77.0630994
V02,WIS_P,bluetooth,376.0,384.0,8.0,4.95,39.05,38.9099003,-77.0589493,38.9099,-77.0594,38.9099,-77.0598381,38.9099,-77.0594
COI,EDGE_3,bluetooth,383.0,388.0,5.0,35.09,43.52,38.9100606,-77.0557048,38.9099,-77.0552994,38.9096658,-77.0557015,38.9099,-77.0552994
ESC1,O_33,wifi,376.0,388.0,12.0,6.89,61.89,38.9086557,-77.0557197,38.9081,-77.0557,38.9081216,-77.0564106,38.9081,-77.0557
V03,WIS_O,bluetooth,380.0,388.0,8.0,6.88,39.88,38.9084582,-77.0594087,38.9081,-77.0594,38.9081292,-77.0589435,38.9081,-77.0594
COI,P_33,bluetooth,381.0,389.0,8.0,4.08,39.88,38.9102582,-77.0557106,38.9099,-77.0557,38.9095669,-77.0557014,38.9099,-77.0557
V08,EDGE_3,bluetooth,386.0,389.0,3.0,40.08,42.88,38.9099,-77.0557875,38.9099,-77.0552994,38.9097424,-77.055751,38.9099,-77.0552994
V04,V07,wifi,382.0,391.0,9.0,9.86,64.2,38.9045619,-77.0611938,38.9043809,-77.0606077,38.9043961,-77.0604997,38.9046566,-77.0611608
V04,M_36,wifi,379.0,391.0,12.0,7.16,62.16,38.9048583,-77.0611867,38.9043,-77.0612,38.9043961,-77.0604997,38.9043,-77.0612
V08,P_33,bluetooth,383.0,391.0,8.0,7.58,40.58,38.9099,-77.0561684,38.9099,-77.0557,38.9095448,-77.0557449,38.9099,-77.0557
V07,M_36,wifi,381.0,393.0,12.0,8.1,63.1,38.904398,-77.0604826,38.9043,-77.0612,38.9048542,-77.0611655,38.9043,-77.0612
V00,V01,wifi,390.0,396.0,6.0,57.52,62.16,38.9104557,-77.0557173,38.9099,-77.0557876,38.9099618,-77.0557019,38.909446,-77.0557419
ESC1,V03,bluetooth,395.0,400.0,5.0,0.53,44.41,38.9081015,-77.0574261,38.9081087,-77.057928,38.9081011,-77.0579335,38.9081009,-77.0574208
V00,P_33,bluetooth,392.0,400.0,8.0,6.88,39.88,38.9102582,-77.0557111,38.9099,-77.0557,38.9099295,-77.0552435,38.9099,-77.0557
ESC2,EDGE_0,wifi,386.0,401.0,15.0,0.8,63.14,38.9049571,-77.0630856,38.9044685,-77.0631,38.9041108,-77.0625343,38.9044685,-77.0631
V00,EDGE_3,bluetooth,394.0,403.0,9.0,5.85,39.43,38.9100606,-77.055705,38.9099,-77.0552994,38.9099217,-77.0548627,38.9099,-77.0552994
V06,EDGE_1,bluetooth,397.0,406.0,9.0,0.07,44.06,38.9062994,-77.0604858,38.9063,-77.0599786,38.9063,-77.05947,38.9063,-77.0599786
COI,V08,wifi,382.0,408.0,26.0,16.81,58.53,38.9101594,-77.0557077,38.9099,-77.0562954,38.9076895,-77.0557001,38.9081321,-77.0553705
COI,V01,wifi,385.0,409.0,24.0,47.36,63.68,38.9098634,-77.0557017,38.9099,-77.0564225,38.9075907,-77.0557001,38.9081618,-77.0557019
COI,O_33,wifi,397.0,409.0,12.0,1.7,64.3,38.9086776,-77.0557006,38.9081,-77.0557,38.9075907,-77.0557001,38.9081,-77.0557
V01,V08,wifi,295.0,410.0,115.0,28.38,58.11,38.9112219,-77.0612001,38.9116985,-77.0611261,38.9081341,-77.0557873,38.9081269,-77.0551166
V06,WIS_N,bluetooth,402.0,410.0,8.0,4.94,39.06,38.9062997,-77.0598509,38.9063,-77.0594,38.9063,-77.0589621,38.9063,-77.0594
V08,O_33,wifi,399.0,411.0,12.0,6.88,61.88,38.9086557,-77.0557173,38.9081,-77.0557,38.9081243,-77.0549896,38.9081,-77.0557
V01,O_33,wifi,403.0,415.0,12.0,6.88,61.88,38.9086557,-77.0557173,38.9081,-77.0557,38.9081217,-77.0564106,38.9081,-77.0557
ESC1,WIS_O,wifi,405.0,417.0,12.0,4.95,61.04,38.9081005,-77.0586953,38.9081,-77.0594,38.9081,-77.0600921,38.9081,-77.0594
ESC2,M_36,wifi,405.0,417.0,12.0,3.45,62.49,38.9041994,-77.0619097,38.9043,-77.0612,38.9043727,-77.0605319,38.9043,-77.0612
ESC1,V05,wifi,417.0,423.0,6.0,9.89,56.51,38.9081,-77.0602191,38.9081297,-77.0608702,38.9081,-77.060854,38.9081169,-77.0602355
V04,WIS_N,wifi,411.0,423.0,12.0,7.12,62.12,38.9057423,-77.0594217,38.9063,-77.0594,38.9062772,-77.0601107,38.9063,-77.0594
COI,EDGE_2,wifi,418.0,425.0,7.0,52.16,62.08,38.9066025,-77.0557,38.9063,-77.056302,38.9060096,-77.0557,38.9063,-77.056302
COI,N_33,wifi,416.0,427.0,11.0,0.68,55.68,38.9068002,-77.0557,38.9063,-77.0557,38.905812,-77.0557,38.9063,-77.0557
V05,WIS_O,wifi,423.0,435.0,12.0,6.41,61.56,38.9081143,-77.0601086,38.9081,-77.0594,38.9086526,-77.0594276,38.9081,-77.0594
V06,EDGE_2,bluetooth,426.0,435.0,9.0,0.56,44.56,38.9063,-77.0568035,38.9063,-77.056302,38.9063,-77.0557876,38.9063,-77.056302
V01,WIS_O,wifi,432.0,444.0,12.0,6.05,61.56,38.9081005,-77.0586953,38.9081,-77.0594,38.9075474,-77.0593739,38.9081,-77.0594
ESC2,WIS_N,wifi,437.0,449.0,12.0,7.68,62.68,38.9057376,-77.0594338,38.9063,-77.0594,38.9062747,-77.0601112,38.9063,-77.0594
V00,O_33,wifi,438.0,450.0,12.0,4.08,61.55,38.9081131,-77.0550182,38.9081,-77.0557,38.9075472,-77.0556888,38.9081,-77.0557
V03,V06,bluetooth,446.0,450.0,4.0,33.01,40.06,38.9062326,-77.0538156,38.9063,-77.0542639,38.9059444,-77.0538117,38.9063,-77.053883
ESC2,EDGE_1,bluetooth,443.0,452.0,9.0,3.19,44.51,38.9062602,-77.0594883,38.9063,-77.0599786,38.9062835,-77.0604919,38.9063,-77.0599786
ESC1,V02,bluetooth,450.0,454.0,4.0,3.32,41.18,38.9091467,-77.0630766,38.9093698,-77.0630997,38.909443,-77.0630858,38.9090733,-77.0630998
V02,V07,bluetooth,450.0,454.0,4.0,5.19,38.81,38.9093698,-77.0630997,38.9091255,-77.0630998,38.9090733,-77.0630998,38.9094219,-77.0630999
V01,WIS_N,wifi,450.0,462.0,12.0,6.88,61.88,38.9068558,-77.0593884,38.9063,-77.0594,38.9063227,-77.0586895,38.9063,-77.0594
V00,EDGE_2,wifi,459.0,466.0,7.0,52.36,64.06,38.906559,-77.0556977,38.9063,-77.056302,38.9059663,-77.0556996,38.9063,-77.056302
COI,V08,wifi,459.0,467.0,8.0,9.74,61.84,38.9052344,-77.0525995,38.9055492,-77.0520113,38.9055545,-77.0520591,38.9052584,-77.0525823
V00,N_33,wifi,456.0,468.0,12.0,4.15,61.84,38.9068555,-77.055695,38.9063,-77.0557,38.9057686,-77.0556997,38.9063,-77.0557
ESC1,V05,wifi,465.0,470.0,5.0,3.3,44.27,38.9099378,-77.062269,38.909899,-77.0617604,38.9099198,-77.0617616,38.9098994,-77.0622683
V05,V07,wifi,464.0,470.0,6.0,10.84,55.49,38.9098989,-77.0616334,38.9098669,-77.0622624,38.9098994,-77.0622683,38.9098867,-77.061628
V00,V03,bluetooth,472.0,477.0,5.0,2.82,41.18,38.9052746,-77.0556999,38.9049079,-77.0556365,38.904951,-77.0557899,38.905253,-77.0556856
ESC1,V07,wifi,436.0,478.0,42.0,2.34,64.41,38.9081,-77.0626316,38.9077422,-77.0630967,38.9099014,-77.0607473,38.9094474,-77.0612084
V04,V05,wifi,476.0,482.0,6.0,10.95,54.72,38.9093446,-77.063095,38.9098327,-77.0630639,38.9098386,-77.0630994,38.9093474,-77.063074
V01,EDGE_2,wifi,474.0,486.0,12.0,2.1,63.9,38.9063007,-77.0570397,38.9063,-77.056302,38.9063,-77.0556429,38.9063,-77.056302
V01,N_33,wifi,479.0,491.0,12.0,4.95,61.05,38.9063003,-77.0564048,38.9063,-77.0557,38.9063,-77.055008,38.9063,-77.0557
ESC1,WIS_P,bluetooth,484.0,492.0,8.0,4.28,39.71,38.9099005,-77.0598584,38.9099,-77.0594,38.9099001,-77.0589696,38.9099,-77.0594
COI,V01,wifi,491.0,497.0,6.0,9.87,56.13,38.9062992,-77.0542331,38.9063,-77.054881,38.9062995,-77.054868,38.9063,-77.0542461
COI,V03,bluetooth,493.0,497.0,4.0,10.69,33.48,38.9062993,-77.0544871,38.9062812,-77.0548627,38.9062995,-77.054868,38.9062879,-77.0544818
V01,V08,wifi,491.0,497.0,6.0,10.31,55.91,38.9063,-77.054881,38.9062773,-77.0542566,38.9063,-77.0542461,38.9062873,-77.0548914
V03,V08,bluetooth,493.0,497.0,4.0,8.51,35.48,38.9062812,-77.0548627,38.9062813,-77.0545105,38.9062879,-77.0544818,38.9062873,-77.0548914
ESC2,EDGE_0,wifi,485.0,500.0,15.0,0.8,63.14,38.9049571,-77.0630856,38.9044685,-77.0631,38.9041108,-77.0625343,38.9044685,-77.0631
V06,EDGE_3,bluetooth,498.0,502.0,4.0,35.33,44.97,38.909641,-77.0556977,38.9099,-77.0552994,38.9098644,-77.0557865,38.9099,-77.0552994
V06,P_33,bluetooth,497.0,505.0,8.0,6.84,39.84,38.9095421,-77.0556968,38.9099,-77.0557,38.9098721,-77.0561566,38.9099,-77.0557
V08,EDGE_2,wifi,502.0,506.0,4.0,53.98,60.47,38.9062993,-77.0556531,38.9063,-77.056302,38.9065563,-77.0556866,38.9063,-77.056302
COI,V08,wifi,484.0,507.0,23.0,2.01,55.54,38.9062933,-77.0533447,38.9059509,-77.0537862,38.9063,-77.0561378,38.9066551,-77.0556875
COI,N_33,wifi,497.0,509.0,12.0,4.92,61.08,38.9062996,-77.054995,38.9063,-77.0557,38.9063,-77.0563917,38.9063,-77.0557
V08,N_33,wifi,497.0,509.0,12.0,4.07,61.54,38.9062893,-77.0550183,38.9063,-77.0557,38.9068528,-77.0556892,38.9063,-77.0557
ESC1,V06,bluetooth,507.0,511.0,4.0,9.44,34.77,38.9099,-77.056938,38.90988,-77.0565374,38.9099,-77.056557,38.9098879,-77.0569182
COI,EDGE_2,wifi,502.0,514.0,12.0,3.23,62.77,38.9063,-77.0556299,38.9063,-77.056302,38.9063,-77.0570266,38.9063,-77.056302
ESC2,V02,bluetooth,512.0,514.0,2.0,43.6,44.68,38.9043303,-77.0609089,38.9046597,-77.0612035,38.9043444,-77.0607832,38.9045609,-77.0612026
V04,V05,wifi,509.0,515.0,6.0,49.36,62.3,38.9086566,-77.0612037,38.9081008,-77.0611206,38.9081625,-77.0612004,38.9081005,-77.0604857
ESC2,M_36,wifi,504.0,516.0,12.0,3.45,62.49,38.9041994,-77.0619097,38.9043,-77.0612,38.9043727,-77.0605319,38.9043,-77.0612
ESC2,V00,wifi,512.0,518.0,6.0,9.67,56.34,38.9043303,-77.0609089,38.9044002,-77.060296,38.9044009,-77.0602805,38.9043306,-77.0609245
ESC1,EDGE_3,bluetooth,516.0,519.0,3.0,40.73,43.46,38.9099,-77.0557952,38.9099,-77.0552994,38.9097423,-77.0557583,38.9099,-77.0552994
V02,M_36,bluetooth,512.0,520.0,8.0,7.04,40.04,38.9046597,-77.0612035,38.9043,-77.0612,38.9042878,-77.0616574,38.9043,-77.0612
ESC1,P_33,bluetooth,513.0,521.0,8.0,8.24,41.24,38.9099,-77.0561761,38.9099,-77.0557,38.9095447,-77.0557513,38.9099,-77.0557
V07,EDGE_1,bluetooth,514.0,523.0,9.0,2.21,44.42,38.9063369,-77.0604892,38.9063,-77.0599786,38.9063025,-77.0594743,38.9063,-77.0599786
V00,M_36,wifi,514.0,526.0,12.0,2.12,63.88,38.9043724,-77.0605474,38.9043,-77.0612,38.9042236,-77.0619308,38.9043,-77.0612
V08,O_33,wifi,515.0,527.0,12.0,4.14,61.85,38.9075444,-77.0556952,38.9081,-77.0557,38.9086313,-77.0556996,38.9081,-77.0557
V05,WIS_O,wifi,517.0,529.0,12.0,6.05,61.56,38.9081003,-77.0601048,38.9081,-77.0594,38.9075474,-77.0594261,38.9081,-77.0594
V07,WIS_N,wifi,517.0,529.0,12.0,6.44,61.58,38.906324,-77.0601086,38.9063,-77.0594,38.9057474,-77.0594318,38.9063,-77.0594
ESC1,V08,wifi,525.0,531.0,6.0,8.53,57.78,38.9090508,-77.0557337,38.9085325,-77.0556996,38.908557,-77.0557162,38.9090265,-77.0556997
V06,WIS_P,bluetooth,526.0,534.0,8.0,6.06,39.6,38.9098996,-77.0589491,38.9099,-77.0594,38.910255,-77.0593696,38.9099,-77.0594
ESC2,V07,wifi,530.0,536.0,6.0,3.28,64.95,38.9051454,-77.0594695,38.9055498,-77.0594267,38.9056389,-77.0594398,38.9050558,-77.0594142
COI,WIS_N,wifi,526.0,538.0,12.0,7.6,62.6,38.9063,-77.0586773,38.9063,-77.0594,38.9068528,-77.059361,38.9063,-77.0594
ESC1,V03,bluetooth,532.0,538.0,6.0,8.19,39.92,38.9083594,-77.0557092,38.9080942,-77.055399,38.9081291,-77.0560298,38.9083564,-77.0556862
COI,V05,wifi,534.0,539.0,5.0,4.48,44.65,38.9065564,-77.0593518,38.9069546,-77.0594137,38.9069515,-77.0593641,38.9065594,-77.0594054
ESC1,O_33,wifi,529.0,541.0,12.0,6.89,61.89,38.9086557,-77.0557197,38.9081,-77.0557,38.9081216,-77.0564106,38.9081,-77.0557
V01,EDGE_2,wifi,538.0,542.0,4.0,52.64,59.79,38.9060435,-77.0556965,38.9063,-77.056302,38.9062679,-77.0556131,38.9063,-77.056302
V08,EDGE_3,bluetooth,537.0,542.0,5.0,34.75,42.06,38.9097182,-77.0556999,38.9099,-77.0552994,38.9101135,-77.0557,38.9099,-77.0552994
V00,EDGE_0,wifi,530.0,543.0,13.0,8.92,58.23,38.9041571,-77.0625599,38.9044685,-77.0631,38.9049579,-77.0630248,38.9044685,-77.0631
V08,P_33,bluetooth,535.0,543.0,8.0,1.76,42.23,38.9095206,-77.0556999,38.9099,-77.0557,38.9102123,-77.0557,38.9099,-77.0557
ESC2,V05,wifi,539.0,546.0,7.0,3.59,59.61,38.9060337,-77.059416,38.9064606,-77.0594034,38.9062688,-77.0598573,38.905868,-77.059401
ESC2,V04,wifi,541.0,547.0,6.0,5.04,61.89,38.9062311,-77.0594041,38.9063238,-77.0601086,38.9062717,-77.0599843,38.9063025,-77.0594743
V01,N_33,wifi,535.0,547.0,12.0,6.56,61.59,38.905747,-77.0556924,38.9063,-77.0557,38.906279,-77.0549896,38.9063,-77.0557
V04,V05,wifi,541.0,547.0,6.0,47.65,61.65,38.9063238,-77.0601086,38.9062633,-77.0594012,38.9063025,-77.0594743,38.9057692,-77.0594009
V05,WIS_N,wifi,535.0,547.0,12.0,4.09,61.88,38.9068558,-77.0594116,38.9063,-77.0594,38.9057692,-77.0594009,38.9063,-77.0594
ESC2,WIS_N,wifi,536.0,548.0,12.0,7.68,62.68,38.9057376,-77.0594338,38.9063,-77.0594,38.9062747,-77.0601112,38.9063,-77.0594
ESC2,EDGE_1,bluetooth,542.0,551.0,9.0,3.19,44.51,38.9062602,-77.0594883,38.9063,-77.0599786,38.9062835,-77.0604919,38.9063,-77.0599786
V04,WIS_N,wifi,541.0,553.0,12.0,4.49,61.44,38.9063238,-77.0601086,38.9063,-77.0594,38.9063015,-77.0587133,38.9063,-77.0594
COI,WIS_O,wifi,544.0,556.0,12.0,4.08,61.88,38.9075443,-77.0593826,38.9081,-77.0594,38.9086307,-77.0593987,38.9081,-77.0594
V00,V02,bluetooth,516.0,557.0,41.0,21.35,42.53,38.9043445,-77.0607988,38.9043357,-77.0612897,38.9063394,-77.0630969,38.9062665,-77.0626432
V03,P_33,bluetooth,549.0,557.0,8.0,6.84,39.84,38.9095422,-77.0556968,38.9099,-77.0557,38.9098723,-77.0552434,38.9099,-77.0557
V03,EDGE_3,bluetooth,550.0,560.0,10.0,5.74,44.97,38.909641,-77.0556977,38.9099,-77.0552994,38.9098796,-77.0548626,38.9099,-77.0552994
ESC2,V02,bluetooth,560.0,564.0,4.0,10.65,33.55,38.9062988,-77.0617608,38.9062783,-77.0621355,38.9062992,-77.0621417,38.9062871,-77.0617547
ESC1,WIS_O,wifi,558.0,570.0,12.0,4.95,61.04,38.9081005,-77.0586953,38.9081,-77.0594,38.9081,-77.0600921,38.9081,-77.0594
COI,WIS_P,bluetooth,564.0,572.0,8.0,1.7,42.3,38.90952,-77.0593996,38.9099,-77.0594,38.9102117,-77.0593999,38.9099,-77.0594
V04,EDGE_2,wifi,566.0,577.0,11.0,0.11,55.11,38.9063001,-77.0569357,38.9063,-77.056302,38.9063,-77.0556659,38.9063,-77.056302
V04,V07,wifi,579.0,581.0,2.0,63.0,63.63,38.9063,-77.055285,38.9058441,-77.0557281,38.9063,-77.055158,38.9059428,-77.055722
V04,N_33,wifi,570.0,582.0,12.0,2.95,63.05,38.9063,-77.0564278,38.9063,-77.0557,38.9063,-77.055031,38.9063,-77.0557
V07,EDGE_2,wifi,580.0,585.0,5.0,52.27,64.08,38.9059428,-77.055722,38.9063,-77.056302,38.9062621,-77.0556146,38.9063,-77.056302
V01,V05,wifi,583.0,589.0,6.0,3.48,62.51,38.904894,-77.0557616,38.9048335,-77.0563042,38.9048239,-77.0563901,38.9049021,-77.0556756
COI,V08,wifi,582.0,590.0,8.0,10.91,59.37,38.9112986,-77.0594,38.9116992,-77.0589476,38.9116385,-77.0598575,38.911345,-77.0593685
V07,N_33,wifi,578.0,590.0,12.0,6.81,61.81,38.9057454,-77.0557342,38.9063,-77.0557,38.9062752,-77.0549898,38.9063,-77.0557
COI,WIS_Q,wifi,581.0,592.0,11.0,11.56,61.84,38.9111998,-77.0594,38.9117,-77.0594,38.9116501,-77.060111,38.9117,-77.0594
V08,WIS_Q,wifi,580.0,592.0,12.0,6.19,61.56,38.9116988,-77.0586936,38.9117,-77.0594,38.9111474,-77.0593728,38.9117,-77.0594
V04,V07,wifi,593.0,596.0,3.0,58.78,61.42,38.906043,-77.0538453,38.9062858,-77.054482,38.9058455,-77.0538358,38.9062911,-77.0542282
V00,V06,bluetooth,592.0,597.0,5.0,7.26,43.71,38.9098967,-77.0631,38.9101594,-77.0630946,38.9102919,-77.0631,38.9099324,-77.0628973
ESC2,EDGE_0,wifi,584.0,599.0,15.0,0.8,63.14,38.9049571,-77.0630856,38.9044685,-77.0631,38.9041108,-77.0625343,38.9044685,-77.0631
V02,WIS_O,bluetooth,596.0,604.0,8.0,6.42,39.64,38.9080906,-77.0598548,38.9081,-77.0594,38.9084551,-77.0594355,38.9081,-77.0594
V04,V05,wifi,599.0,607.0,8.0,4.03,60.81,38.9054506,-77.0538168,38.9050481,-77.0542915,38.9050793,-77.0542572,38.9054514,-77.0538681
V08,WIS_P,bluetooth,600.0,608.0,8.0,4.09,39.88,38.9102582,-77.0593922,38.9099,-77.0594,38.9095668,-77.0593989,38.9099,-77.0594
V05,V07,wifi,604.0,610.0,6.0,12.01,55.38,38.9052541,-77.0538839,38.905748,-77.0538067,38.9057473,-77.0538444,38.9052539,-77.0538016
V02,V08,bluetooth,609.0,613.0,4.0,8.35,35.83,38.9090478,-77.0594209,38.9093692,-77.0593991,38.9093442,-77.0594136,38.9090728,-77.0593993
V03,V07,bluetooth,613.0,614.0,1.0,43.97,43.97,38.9053958,-77.0538,38.9050971,-77.0541321,38.9053958,-77.0538,38.9050971,-77.0541321
COI,V00,wifi,609.0,615.0,6.0,9.3,62.69,38.9116988,-77.0623936,38.9115765,-77.0631,38.9116999,-77.0630285,38.9116296,-77.0625157
ESC2,M_36,wifi,603.0,615.0,12.0,3.45,62.49,38.9041994,-77.0619097,38.9043,-77.0612,38.9043727,-77.0605319,38.9043,-77.0612
ESC2,V01,wifi,615.0,621.0,6.0,10.33,55.67,38.9043868,-77.0604062,38.9044567,-77.0597855,38.9044575,-77.0597778,38.9043871,-77.0604141
V02,WIS_P,bluetooth,614.0,622.0,8.0,4.09,39.88,38.9095418,-77.0594088,38.9099,-77.0594,38.9102331,-77.0594012,38.9099,-77.0594
V04,V07,wifi,620.0,624.0,4.0,57.1,62.65,38.9051542,-77.0556842,38.9049868,-77.0550095,38.9054506,-77.0556883,38.9049395,-77.0553856
V08,WIS_O,wifi,616.0,628.0,12.0,9.29,64.29,38.9086775,-77.0593996,38.9081,-77.0594,38.9081363,-77.0601108,38.9081,-77.0594
COI,V00,wifi,628.0,630.0,2.0,63.38,63.94,38.9117293,-77.0617505,38.9113469,-77.0612085,38.9117225,-77.0616238,38.9112481,-77.0612079
V01,M_36,wifi,621.0,633.0,12.0,2.78,63.22,38.9043731,-77.0605398,38.9043,-77.0612,38.9042244,-77.0619233,38.9043,-77.0612
V06,V08,bluetooth,630.0,634.0,4.0,10.88,33.16,38.9081305,-77.0608703,38.9081236,-77.0604914,38.9081226,-77.0604895,38.9081109,-77.060872
V04,EDGE_2,wifi,629.0,636.0,7.0,52.41,64.24,38.9060435,-77.0556965,38.9063,-77.056302,38.9066362,-77.0556994,38.9063,-77.056302
V04,N_33,wifi,626.0,638.0,12.0,4.42,61.56,38.905747,-77.0556924,38.9063,-77.0557,38.9068338,-77.0556994,38.9063,-77.0557
V07,EDGE_2,wifi,637.0,641.0,4.0,52.64,59.79,38.9060435,-77.0556964,38.9063,-77.056302,38.9062679,-77.0556131,38.9063,-77.056302
ESC1,WIS_P,bluetooth,637.0,645.0,8.0,4.28,39.71,38.9099005,-77.0598584,38.9099,-77.0594,38.9099001,-77.0589696,38.9099,-77.0594
V06,WIS_O,bluetooth,638.0,646.0,8.0,6.42,39.64,38.9081095,-77.0598548,38.9081,-77.0594,38.9077449,-77.0594355,38.9081,-77.0594
V07,N_33,wifi,634.0,646.0,12.0,6.56,61.59,38.905747,-77.0556923,38.9063,-77.0557,38.906279,-77.0549896,38.9063,-77.0557
ESC2,WIS_N,wifi,635.0,647.0,12.0,7.68,62.68,38.9057376,-77.0594338,38.9063,-77.0594,38.9062747,-77.0601112,38.9063,-77.0594
ESC2,EDGE_1,bluetooth,641.0,650.0,9.0,3.19,44.51,38.9062602,-77.0594883,38.9063,-77.0599786,38.9062835,-77.0604919,38.9063,-77.0599786
V01,EDGE_0,wifi,637.0,650.0,13.0,9.48,58.71,38.9041579,-77.0625524,38.9044685,-77.0631,38.9049587,-77.0630201,38.9044685,-77.0631
COI,WIS_Q,wifi,641.0,653.0,12.0,5.17,60.82,38.9117032,-77.0601021,38.9117,-77.0594,38.9117002,-77.0587055,38.9117,-77.0594
V03,V07,bluetooth,652.0,656.0,4.0,10.81,43.52,38.9062972,-77.0535986,38.9062947,-77.054101,38.9064575,-77.05376,38.9062329,-77.0538117
V04,O_33,wifi,644.0,656.0,12.0,2.04,63.96,38.9075255,-77.0556997,38.9081,-77.0557,38.9086124,-77.0557,38.9081,-77.0557
V00,WIS_P,bluetooth,653.0,661.0,8.0,6.42,39.61,38.90991,-77.0598548,38.9099,-77.0594,38.910255,-77.0594319,38.9099,-77.0594
V06,WIS_N,bluetooth,656.0,664.0,8.0,6.88,39.88,38.9066582,-77.0594088,38.9063,-77.0594,38.9063293,-77.0589435,38.9063,-77.0594
ESC2,V01,wifi,664.0,669.0,5.0,53.94,62.7,38.9062994,-77.0623957,38.9064388,-77.0630969,38.9062998,-77.0629036,38.906834,-77.0630976
ESC1,EDGE_3,bluetooth,669.0,672.0,3.0,40.73,43.46,38.9099,-77.0557952,38.9099,-77.0552994,38.9097423,-77.0557583,38.9099,-77.0552994
ESC1,V04,wifi,665.0,673.0,8.0,27.06,61.97,38.9099,-77.0563031,38.9096006,-77.0557,38.9096435,-77.0557548,38.9098453,-77.0551159
ESC1,P_33,bluetooth,666.0,674.0,8.0,8.24,41.24,38.9099,-77.0561761,38.9099,-77.0557,38.9095447,-77.0557513,38.9099,-77.0557
V00,WIS_Q,wifi,669.0,681.0,12.0,6.89,61.89,38.9111442,-77.0594123,38.9117,-77.0594,38.9116759,-77.0586896,38.9117,-77.0594
V02,EDGE_3,bluetooth,681.0,684.0,3.0,35.49,42.43,38.9100606,-77.0557034,38.9099,-77.0552994,38.9099346,-77.0557871,38.9099,-77.0552994
V02,P_33,bluetooth,679.0,687.0,8.0,6.88,39.88,38.9102582,-77.0557076,38.9099,-77.0557,38.9099271,-77.0561567,38.9099,-77.0557
V06,EDGE_2,bluetooth,680.0,688.0,8.0,2.08,41.92,38.9063006,-77.0567859,38.9063,-77.056302,38.9063001,-77.0558971,38.9063,-77.056302
ESC1,O_33,wifi,682.0,694.0,12.0,6.89,61.89,38.9086557,-77.0557197,38.9081,-77.0557,38.9081216,-77.0564106,38.9081,-77.0557
COI,EDGE_3,bluetooth,692.0,697.0,5.0,35.09,43.52,38.9100606,-77.0557048,38.9099,-77.0552994,38.9096658,-77.0557015,38.9099,-77.0552994
COI,P_33,bluetooth,690.0,698.0,8.0,4.08,39.88,38.9102582,-77.0557106,38.9099,-77.0557,38.9095669,-77.0557014,38.9099,-77.0557
ESC2,EDGE_0,wifi,683.0,698.0,15.0,0.8,63.14,38.9049571,-77.0630856,38.9044685,-77.0631,38.9041108,-77.0625343,38.9044685,-77.0631
ESC2,V05,wifi,707.0,714.0,7.0,8.19,57.75,38.9042879,-77.0612851,38.9043636,-77.0606256,38.9043727,-77.0605319,38.9044563,-77.0611736
ESC2,M_36,wifi,702.0,714.0,12.0,3.45,62.49,38.9041994,-77.0619097,38.9043,-77.0612,38.9043727,-77.0605319,38.9043,-77.0612
ESC1,V01,wifi,712.0,716.0,4.0,57.47,64.5,38.9081004,-77.0588223,38.9078438,-77.0594327,38.9081001,-77.0592033,38.9075474,-77.0594264
V01,WIS_O,wifi,704.0,716.0,12.0,6.1,61.56,38.9080995,-77.0601053,38.9081,-77.0594,38.9075474,-77.0594264,38.9081,-77.0594
V02,WIS_P,bluetooth,708.0,716.0,8.0,6.05,39.6,38.9099003,-77.0589493,38.9099,-77.0594,38.910255,-77.0593699,38.9099,-77.0594
COI,O_33,wifi,706.0,718.0,12.0,1.7,64.3,38.9086776,-77.0557006,38.9081,-77.0557,38.9075907,-77.0557001,38.9081,-77.0557
V05,M_36,wifi,706.0,718.0,12.0,6.26,61.42,38.9043775,-77.0604999,38.9043,-77.0612,38.9048515,-77.0611793,38.9043,-77.0612
ESC1,V03,bluetooth,685.0,719.0,34.0,8.17,33.93,38.9083594,-77.0557092,38.9080965,-77.0555259,38.9081,-77.0595842,38.9083561,-77.0593716
ESC2,V07,wifi,714.0,720.0,6.0,10.33,55.67,38.9043868,-77.0604062,38.9044567,-77.0597855,38.9044575,-77.0597778,38.9043871,-77.0604141
V03,WIS_O,bluetooth,712.0,720.0,8.0,5.67,39.58,38.9081,-77.0589537,38.9081,-77.0594,38.9084549,-77.0593735,38.9081,-77.0594
ESC1,WIS_O,wifi,711.0,723.0,12.0,4.95,61.04,38.9081005,-77.0586953,38.9081,-77.0594,38.9081,-77.0600921,38.9081,-77.0594
V00,EDGE_3,bluetooth,720.0,723.0,3.0,35.49,42.43,38.9100606,-77.0557034,38.9099,-77.0552994,38.9099346,-77.0557871,38.9099,-77.0552994
