node_a,node_b,tech,start_time,end_time,duration,min_dist_m,max_dist_m,start_lat_a,start_lon_a,start_lat_b,start_lon_b,end_lat_a,end_lon_a,end_lat_b,end_lon_b
V08,EDGE_3,bluetooth,74.0,82.0,8.0,3.26,40.74,38.9099,-77.0557697,38.9099,-77.0552994,38.9099,-77.0548808,38.9099,-77.0552994
V01,WIS_O,wifi,76.0,88.0,12.0,6.06,61.55,38.9080997,-77.0601048,38.9081,-77.0594,38.9075474,-77.0594261,38.9081,-77.0594
V04,WIS_N,wifi,79.0,91.0,12.0,6.89,61.89,38.9068559,-77.059412,38.9063,-77.0594,38.906322,-77.0601106,38.9063,-77.0594
V07,M_36,wifi,81.0,93.0,12.0,5.5,61.63,38.9042395,-77.061894,38.9043,-77.0612,38.9048532,-77.061229,38.9043,-77.0612
V03,EDGE_2,bluetooth,88.0,96.0,8.0,2.04,41.96,38.9063009,-77.0567864,38.9063,-77.056302,38.9063002,-77.0558975,38.9063,-77.056302
COI,O_33,wifi,88.0,100.0,12.0,1.72,64.28,38.9086775,-77.0557003,38.9081,-77.0557,38.9075905,-77.0557,38.9081,-77.0557
ESC2,EDGE_0,wifi,89.0,104.0,15.0,0.8,63.14,38.9049571,-77.0630855,38.9044685,-77.0631,38.9041108,-77.0625343,38.9044685,-77.0631
V00,V01,wifi,100.0,106.0,6.0,42.66,61.33,38.9058395,-77.0594208,38.9063346,-77.0594871,38.9063328,-77.0594028,38.906322,-77.0601106
V01,WIS_N,wifi,94.0,106.0,12.0,6.88,61.88,38.9068558,-77.0594116,38.9063,-77.0594,38.906322,-77.0601106,38.9063,-77.0594
V04,V07,wifi,100.0,106.0,6.0,11.03,55.75,38.9061426,-77.0611596,38.9056436,-77.0612131,38.9056486,-77.0611704,38.9061376,-77.0612033
ESC1,V02,bluetooth,105.0,109.0,4.0,1.53,35.43,38.9081,-77.0594571,38.9081068,-77.0597279,38.9081,-77.0598381,38.9081677,-77.0594383
ESC1,WIS_O,wifi,99.0,111.0,12.0,4.95,61.05,38.9081005,-77.0586953,38.9081,-77.0594,38.9081,-77.060092,38.9081,-77.0594
V00,WIS_N,wifi,99.0,111.0,12.0,3.66,62.29,38.9057408,-77.0594253,38.9063,-77.0594,38.9068269,-77.059402,38.9063,-77.0594
V02,WIS_O,bluetooth,104.0,112.0,8.0,6.42,39.61,38.9081095,-77.0598548,38.9081,-77.0594,38.908455,-77.059432,38.9081,-77.0594
V06,EDGE_1,bluetooth,103.0,112.0,9.0,2.99,44.57,38.9063501,-77.060489,38.9063,-77.0599786,38.9063034,-77.0594749,38.9063,-77.0599786
COI,EDGE_2,wifi,109.0,116.0,7.0,52.16,62.07,38.9066024,-77.0557,38.9063,-77.056302,38.9060095,-77.0557,38.9063,-77.056302
V06,WIS_N,bluetooth,108.0,116.0,8.0,6.5,39.6,38.9063209,-77.0598552,38.9063,-77.0594,38.9066549,-77.0594307,38.9063,-77.0594
COI,N_33,wifi,107.0,118.0,11.0,0.66,55.66,38.9068,-77.0557,38.9063,-77.0557,38.9058118,-77.0557,38.9063,-77.0557
ESC2,V04,wifi,113.0,119.0,6.0,35.72,64.04,38.9042879,-77.0612851,38.9048582,-77.0611878,38.9043585,-77.0606575,38.9043642,-77.0611986
ESC2,M_36,wifi,108.0,120.0,12.0,3.45,62.49,38.9041994,-77.0619097,38.9043,-77.0612,38.9043727,-77.0605319,38.9043,-77.0612
V05,V07,wifi,114.0,120.0,6.0,11.54,57.72,38.9063678,-77.0627694,38.9062812,-77.0621644,38.9063404,-77.0621355,38.906294,-77.0627991
V04,M_36,wifi,113.0,125.0,12.0,7.15,62.15,38.9048582,-77.0611878,38.9043,-77.0612,38.9042569,-77.0619076,38.9043,-77.0612
V00,WIS_O,wifi,117.0,129.0,12.0,1.27,64.73,38.9075186,-77.0594009,38.9081,-77.0594,38.9086055,-77.0594001,38.9081,-77.0594
V08,O_33,wifi,117.0,129.0,12.0,4.08,61.88,38.9081131,-77.0550183,38.9081,-77.0557,38.9081005,-77.0564143,38.9081,-77.0557
V02,WIS_P,bluetooth,122.0,130.0,8.0,4.09,39.89,38.9095418,-77.0594079,38.9099,-77.0594,38.9102331,-77.0594011,38.9099,-77.0594
V06,WIS_O,bluetooth,126.0,134.0,8.0,6.89,39.89,38.9077417,-77.0594076,38.9081,-77.0594,38.9080708,-77.0589435,38.9081,-77.0594
V01,M_36,wifi,128.0,140.0,12.0,7.15,62.15,38.9048582,-77.0611878,38.9043,-77.0612,38.9043961,-77.0604997,38.9043,-77.0612
V04,V07,wifi,136.0,142.0,6.0,9.83,56.25,38.9043539,-77.0630817,38.9048591,-77.0630959,38.904848,-77.0630863,38.904365,-77.0630986
V06,V08,bluetooth,139.0,143.0,4.0,10.21,33.87,38.9080862,-77.0581819,38.9081,-77.057811,38.9080939,-77.0578011,38.9081,-77.058192
V04,EDGE_0,wifi,129.0,144.0,15.0,2.31,64.25,38.9041745,-77.0625336,38.9044685,-77.0631,38.9050456,-77.0630882,38.9044685,-77.0631
V00,WIS_P,bluetooth,138.0,145.0,7.0,11.88,40.28,38.9095936,-77.0594,38.9099,-77.0594,38.9098355,-77.0598575,38.9099,-77.0594
ESC2,V05,wifi,140.0,147.0,7.0,1.91,62.7,38.9057376,-77.0594338,38.9063001,-77.0594715,38.9062602,-77.0594883,38.9057474,-77.0594274
V05,WIS_N,wifi,135.0,147.0,12.0,6.2,61.56,38.9063008,-77.0601064,38.9063,-77.0594,38.9057474,-77.0594274,38.9063,-77.0594
COI,V03,bluetooth,144.0,148.0,4.0,2.12,42.13,38.9051517,-77.0533539,38.905193,-77.0530832,38.905193,-77.0529767,38.9051442,-77.0534589
V07,EDGE_0,wifi,135.0,149.0,14.0,0.55,59.0,38.9049579,-77.0630954,38.9044685,-77.0631,38.9041845,-77.062525,38.9044685,-77.0631
ESC2,WIS_N,wifi,140.0,152.0,12.0,7.68,62.68,38.9057376,-77.0594338,38.9063,-77.0594,38.9062747,-77.0601112,38.9063,-77.0594
ESC2,EDGE_1,bluetooth,146.0,155.0,9.0,3.19,44.51,38.9062602,-77.0594883,38.9063,-77.0599786,38.9062835,-77.0604919,38.9063,-77.0599786
V01,V05,wifi,151.0,156.0,5.0,3.2,44.67,38.9048533,-77.0594563,38.9052534,-77.0594165,38.9052484,-77.059441,38.9048582,-77.0594079
V08,WIS_O,wifi,146.0,158.0,12.0,5.65,61.54,38.9081,-77.0586999,38.9081,-77.0594,38.9075475,-77.0593772,38.9081,-77.0594
ESC1,V00,bluetooth,159.0,164.0,5.0,3.44,44.45,38.9099378,-77.062269,38.9098975,-77.0617585,38.9099198,-77.0617616,38.9098985,-77.0622664
V07,M_36,wifi,153.0,165.0,12.0,5.45,60.5,38.9042395,-77.061894,38.9043,-77.0612,38.9043776,-77.0605094,38.9043,-77.0612
